74,Chipotle dip,"Chipotle dip, yogurt based",3.33,0.0,7.93,10.1,2.97,0.037,70.61,3.638,8.716,3.219,15.99,92,0.022,0.09,9,111,119,636,0.5,74,0.43,0.054,3.4,0.68,32.0
75,Dill dip,"Dill dip, yogurt based",3.76,0.3,8.16,10.2,2.99,0.038,69.81,3.645,8.742,3.232,16.03,103,0.028,0.29,13,115,141,641,0.55,74,0.43,0.054,1.9,0.75,44.9
76,Onion dip,"Onion dip, yogurt based",04.07,0.2,6.82,8.2,3.38,0.041,74.42,2.928,6.865,2.713,12.88,93,0.019,0.08,10,105,126,507,0.47,66,0.42,0.054,1.1,0.53,25.0
77,Ranch dip,"Ranch dip, yogurt based",4.13,0.3,8.48,10.4,3.41,0.042,69.0,3.661,8.744,3.267,16.09,114,0.029,0.29,14,123,154,646,0.58,74,0.46,0.056,1.9,0.75,44.9
78,Spinach dip,"Spinach dip, yogurt based",3.6,0.3,07.02,8.6,03.04,0.043,74.55,2.927,6.892,2.721,12.94,103,0.028,0.21,15,106,136,514,0.49,112,0.42,0.054,0.7,0.8,66.2
79,Tzatziki dip,Tzatziki dip,3.95,0.2,5.35,5.7,2.92,0.025,83.08,3.724,0.641,1.838,6.31,64,0.027,0.14,11,86,139,307,0.38,3,0.42,0.06,2.0,0.52,8.2
80,Vegetable dip,"Vegetable dip, yogurt based",3.76,0.3,8.16,10.2,2.99,0.038,69.81,3.645,8.742,3.232,16.03,103,0.028,0.29,13,115,141,641,0.55,74,0.43,0.054,1.9,0.75,44.9
81,Yogurt parfait,"Yogurt parfait, low fat, with fruit",15.86,1.1,3.36,3.9,11.68,0.07,78.97,0.307,0.122,0.525,01.01,105,0.054,0.49,17,93,189,49,0.89,30,0.88,0.233,14.3,0.25,1.7
82,Frozen yogurt,"Frozen yogurt, NFS",21.6,0.0,3.0,1.9,19.92,0.04,71.2,0.986,0.1,2.326,3.6,100,0.009,0.46,10,89,156,63,0.28,49,0.07,0.04,0.7,0.09,0.3
83,Frozen yogurt,"Frozen yogurt, vanilla",21.6,0.0,3.0,1.9,19.92,0.04,71.2,0.986,0.1,2.326,3.6,100,0.009,0.46,10,89,156,63,0.28,49,0.07,0.04,0.7,0.09,0.3
84,Frozen yogurt,"Frozen yogurt, chocolate",21.6,2.3,3.0,1.9,19.24,0.04,71.2,0.961,0.102,2.272,3.6,100,0.054,0.46,25,89,234,63,0.28,39,0.07,0.04,0.0,0.09,0.3
85,Frozen yogurt,"Frozen yogurt, soft serve, vanilla",24.2,0.0,4.0,3.3,24.0,0.037,65.3,1.59,0.21,3.42,5.6,143,0.04,0.3,14,129,211,87,0.42,59,0.29,0.08,0.8,0.11,0.3
86,Frozen yogurt,"Frozen yogurt, soft serve, chocolate",24.87,0.7,4.31,3.5,23.56,0.038,64.05,1.65,0.215,3.513,5.76,143,0.115,0.57,24,141,237,86,0.55,58,0.28,0.081,0.8,0.11,0.3
87,Frozen yogurt sandwich,Frozen yogurt sandwich,34.38,0.8,3.9,2.8,24.3,0.081,54.52,1.956,1.113,2.805,6.25,83,0.123,1.35,21,100,170,192,0.48,38,0.08,0.043,0.5,0.25,0.8
88,Frozen yogurt bar,"Frozen yogurt bar, vanilla",21.6,0.0,3.0,1.9,19.92,0.04,71.2,0.986,0.1,2.326,3.6,100,0.009,0.46,10,89,156,63,0.28,49,0.07,0.04,0.7,0.09,0.3
89,Frozen yogurt bar,"Frozen yogurt bar, chocolate",21.6,2.3,3.0,1.9,19.24,0.04,71.2,0.961,0.102,2.272,3.6,100,0.054,0.46,25,89,234,63,0.28,39,0.07,0.04,0.0,0.09,0.3
90,Frozen yogurt cone,"Frozen yogurt cone, chocolate",23.9,2.3,3.2,2.0,18.71,0.048,68.56,0.996,0.228,2.23,3.73,97,0.06,0.59,25,89,229,71,0.3,37,0.07,0.04,0.0,0.12,0.4
91,Frozen yogurt cone,"Frozen yogurt cone, vanilla",23.9,0.1,3.2,2.0,19.36,0.048,68.56,01.02,0.227,2.282,3.73,97,0.017,0.59,11,89,154,71,0.3,47,0.07,0.04,0.7,0.12,0.4
92,Frozen yogurt cone,"Frozen yogurt cone, vanilla, waffle cone",25.28,0.1,3.29,2.1,20.26,0.068,67.19,1.014,0.18,2.223,3.61,97,0.024,0.69,11,90,155,77,0.31,46,0.07,0.041,0.7,0.09,0.4
93,Frozen yogurt cone,"Frozen yogurt cone, chocolate, waffle cone",25.28,2.3,3.29,2.1,19.62,0.068,67.19,0.991,0.181,2.172,3.61,97,0.067,0.69,25,90,229,77,0.31,37,0.07,0.041,0.0,0.09,0.4
94,Yogurt,"Yogurt, whole milk, baby food",4.66,0.0,3.47,2.2,4.66,0.029,87.89,0.893,0.092,2.096,3.25,121,0.009,0.05,12,95,155,46,0.59,27,0.37,0.032,0.5,0.06,0.2
95,Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",13.22,0.3,3.4,2.8,11.46,0.047,79.16,0.916,0.367,1.84,3.53,107,0.023,0.15,15,95,149,41,0.59,24,0.32,0.034,1.4,0.07,0.3
96,Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",13.0,0.6,03.05,2.4,11.46,0.048,80.21,0.74,0.405,1.582,03.08,98,0.031,4.18,15,86,143,38,0.54,22,0.29,0.036,3.6,0.09,0.9
97,Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",13.22,0.3,3.4,2.8,11.46,0.047,79.16,0.916,0.367,1.84,3.53,107,0.023,0.15,15,95,149,41,0.59,24,0.32,0.034,1.4,0.07,0.3
98,Chocolate milk,"Chocolate milk, NFS",13.46,0.0,3.39,1.9,8.39,0.045,82.34,0.0,0.0,0.0,0.0,127,0.075,0.27,13,101,182,79,0.41,64,0.32,0.024,1.0,0.04,0.2
99,Chocolate milk,"Chocolate milk, ready to drink, whole",10.34,0.8,3.17,1.9,9.54,0.037,82.3,0.99,0.124,2.104,3.39,112,0.065,0.24,13,101,167,60,0.41,27,0.33,0.04,0.9,0.07,0.3
100,Chocolate milk,"Chocolate milk, ready to drink, reduced fat",12.13,0.7,2.99,3.4,9.55,0.045,82.17,0.455,0.089,1.177,1.9,109,0.075,0.24,14,102,169,66,0.39,64,0.33,0.024,0.0,0.04,0.2
101,Chocolate milk,"Chocolate milk, ready to drink, fat free",13.46,0.0,3.39,1.9,8.39,0.045,82.34,0.0,0.0,0.0,0.0,127,0.075,0.27,13,101,182,79,0.41,64,0.32,0.024,1.0,0.04,0.2
102,Chocolate milk,"Chocolate milk, ready to drink, low fat",10.15,0.1,3.46,1.9,9.94,0.031,84.5,0.3,0.049,0.616,1.11,129,0.028,0.23,13,96,172,65,0.43,52,0.23,0.047,0.4,0.0,0.1
103,Chocolate milk,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",7.68,0.0,3.43,1.9,7.29,0.035,87.09,0.29,0.054,0.616,01.04,122,0.018,0.16,13,98,168,66,0.46,96,0.2,0.05,0.0,0.0,0.1
104,Chocolate milk,"Chocolate milk, ready to drink, low fat (Nesquik)",10.15,0.1,3.46,1.9,9.94,0.031,84.5,0.3,0.049,0.616,1.11,129,0.028,0.23,13,96,172,65,0.43,52,0.23,0.047,0.4,0.0,0.1
105,Chocolate milk,"Chocolate milk, ready to drink, fat free (Nesquik)",13.46,0.0,3.39,1.9,8.39,0.045,82.34,0.0,0.0,0.0,0.0,127,0.075,0.27,13,101,182,79,0.41,64,0.32,0.024,1.0,0.04,0.2
106,Chocolate milk,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",10.15,0.1,3.46,1.9,9.94,0.031,84.5,0.3,0.049,0.616,1.11,129,0.028,0.23,13,96,172,65,0.43,52,0.23,0.047,0.4,0.0,0.1
107,Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink",16.54,0.0,2.72,1.7,15.18,0.047,78.43,0.325,0.047,0.903,1.54,102,0.058,0.0,17,95,152,60,0.45,68,0.42,0.049,0.2,0.03,0.2
108,Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",16.52,0.0,2.79,1.9,15.31,0.044,79.81,0.014,0.005,0.04,0.06,107,0.059,0.0,18,98,159,61,0.47,52,0.45,0.046,0.0,0.0,0.0
109,Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",16.68,0.2,1.21,1.3,14.62,0.013,80.39,0.386,0.442,0.115,0.98,122,0.132,0.28,16,32,99,75,0.23,58,0.35,0.014,0.0,1.14,1.3
110,Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, with whipped cream",15.89,0.0,2.73,1.8,14.6,0.045,77.44,0.742,0.119,1.952,3.18,101,0.056,0.0,17,93,149,58,0.44,84,0.41,0.048,0.2,0.07,0.3
111,Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",15.87,0.0,2.79,2.0,14.72,0.043,78.76,0.445,0.079,1.13,1.77,105,0.057,0.0,17,96,156,60,0.46,69,0.43,0.046,0.0,0.04,0.2
112,Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",16.02,0.2,1.29,1.3,14.07,0.013,79.32,0.799,0.496,1.202,2.64,119,0.127,0.27,15,33,98,73,0.23,74,0.34,0.015,0.0,1.13,1.3
113,Chocolate milk,"Chocolate milk, made from dry mix, NS as to type of milk",10.13,0.3,3.41,1.9,9.63,0.054,83.63,0.4,0.061,1.232,02.01,146,0.057,0.0,15,102,164,45,0.82,55,0.53,0.112,1.7,0.03,0.2
114,Chocolate milk,"Chocolate milk, made from dry mix with whole milk",9.94,0.3,3.36,1.9,9.55,0.053,82.75,0.646,0.101,1.885,3.14,143,0.057,0.0,14,100,158,44,0.8,30,0.51,0.113,1.7,0.05,0.3
115,Chocolate milk,"Chocolate milk, made from dry mix with reduced fat milk",10.16,0.3,3.42,1.8,9.62,0.056,83.68,0.375,0.054,1.182,1.92,146,0.057,0.0,15,102,166,45,0.82,78,0.52,0.113,1.9,0.03,0.2
116,Chocolate milk,"Chocolate milk, made from dry mix with low fat milk",10.43,0.3,3.45,2.1,9.69,0.054,84.25,0.197,0.03,0.673,01.03,146,0.057,0.0,15,102,166,45,0.82,54,0.57,0.112,1.7,0.02,0.1
117,Chocolate milk,"Chocolate milk, made from dry mix with fat free milk",10.14,0.3,3.5,2.0,9.77,0.053,85.28,0.016,0.006,0.186,0.22,152,0.058,0.0,15,106,174,47,0.84,60,0.54,0.11,1.7,0.0,0.1
118,Chocolate milk,"Chocolate milk, made from dry mix with non-dairy milk",10.32,0.5,1.68,1.3,8.99,0.014,85.96,0.445,0.511,0.272,1.27,169,0.142,0.32,13,30,105,63,0.57,66,0.4,0.07,1.7,1.32,1.5
119,Chocolate milk,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",7.61,0.4,3.59,2.8,5.86,0.119,85.52,0.499,0.141,1.114,2.1,159,0.079,0.14,29,120,224,59,1.0,56,0.54,0.136,2.4,0.03,0.2
120,Chocolate milk,"Chocolate milk, made from reduced sugar mix with whole milk",7.42,0.4,3.53,2.8,5.78,0.118,84.62,0.75,0.182,1.78,3.26,157,0.079,0.14,29,118,217,58,0.98,31,0.52,0.137,2.4,0.05,0.3
